Timestamp,Parking Spot,Occupied
2024-10-29 15:02:59.170959,Spot 16,Occupied
2024-10-29 15:02:59.186957,Spot 5,Occupied
2024-10-29 15:02:59.202587,Spot 7,Occupied
2024-10-29 15:02:59.202587,Spot 8,Occupied
2024-10-29 15:02:59.202587,Spot 9,Occupied
2024-10-29 15:02:59.202587,Spot 10,Occupied
2024-10-29 15:02:59.202587,Spot 11,Occupied
2024-10-29 15:02:59.202587,Spot 14,Occupied
2024-10-29 15:02:59.202587,Spot 16,Occupied
2024-10-29 15:02:59.218907,Spot 5,Occupied
2024-10-29 15:02:59.234527,Spot 7,Occupied
2024-10-29 15:02:59.234527,Spot 8,Occupied
2024-10-29 15:02:59.234527,Spot 9,Occupied
2024-10-29 15:02:59.234527,Spot 10,Occupied
2024-10-29 15:02:59.234527,Spot 11,Occupied
2024-10-29 15:02:59.234527,Spot 14,Occupied
2024-10-29 15:02:59.234527,Spot 16,Occupied
2024-10-29 15:02:59.266769,Spot 5,Occupied
2024-10-29 15:02:59.266769,Spot 7,Occupied
2024-10-29 15:02:59.266769,Spot 8,Occupied
2024-10-29 15:02:59.266769,Spot 9,Occupied
2024-10-29 15:02:59.266769,Spot 10,Occupied
2024-10-29 15:02:59.266769,Spot 11,Occupied
2024-10-29 15:02:59.266769,Spot 14,Occupied
2024-10-29 15:02:59.266769,Spot 16,Occupied
2024-10-29 15:02:59.282985,Spot 5,Occupied
2024-10-29 15:02:59.298648,Spot 7,Occupied
2024-10-29 15:02:59.298648,Spot 8,Occupied
2024-10-29 15:02:59.298648,Spot 9,Occupied
2024-10-29 15:02:59.298648,Spot 10,Occupied
2024-10-29 15:02:59.298648,Spot 11,Occupied
2024-10-29 15:02:59.298648,Spot 14,Occupied
2024-10-29 15:02:59.298648,Spot 16,Occupied
2024-10-29 15:02:59.308813,Spot 5,Occupied
2024-10-29 15:02:59.324445,Spot 7,Occupied
2024-10-29 15:02:59.324445,Spot 8,Occupied
2024-10-29 15:02:59.324445,Spot 9,Occupied
2024-10-29 15:02:59.324445,Spot 10,Occupied
2024-10-29 15:02:59.324445,Spot 11,Occupied
2024-10-29 15:02:59.324445,Spot 14,Occupied
2024-10-29 15:02:59.324445,Spot 16,Occupied
2024-10-29 15:02:59.349006,Spot 5,Occupied
2024-10-29 15:02:59.349006,Spot 9,Occupied
2024-10-29 15:02:59.349006,Spot 10,Occupied
2024-10-29 15:02:59.349006,Spot 14,Occupied
2024-10-29 15:02:59.349006,Spot 16,Occupied
2024-10-29 15:02:59.362477,Spot 5,Occupied
2024-10-29 15:02:59.378097,Spot 9,Occupied
2024-10-29 15:02:59.378097,Spot 10,Occupied
2024-10-29 15:02:59.378097,Spot 14,Occupied
2024-10-29 15:02:59.378097,Spot 16,Occupied
2024-10-29 15:02:59.426683,Spot 5,Occupied
2024-10-29 15:02:59.426683,Spot 9,Occupied
